,Exchange_Rate,datetime
0,1185.5,2021-12-31
1,1185.5,2022-01-03
2,1190.8,2022-01-04
3,1194.3,2022-01-05
4,1198.2,2022-01-06
5,1199.6,2022-01-07
6,1202.4,2022-01-10
7,1200.0,2022-01-11
8,1195.2,2022-01-12
9,1189.9,2022-01-13
10,1188.2,2022-01-14
11,1187.6,2022-01-17
12,1192.3,2022-01-18
13,1188.9,2022-01-19
14,1191.8,2022-01-20
15,1190.4,2022-01-21
16,1193.6,2022-01-24
17,1194.2,2022-01-25
18,1197.8,2022-01-26
19,1197.0,2022-01-27
20,1202.4,2022-01-28
21,1205.7,2022-02-03
22,1205.4,2022-02-04
23,1199.5,2022-02-07
24,1199.4,2022-02-08
25,1197.8,2022-02-09
26,1196.0,2022-02-10
27,1196.0,2022-02-11
28,1199.6,2022-02-14
29,1198.3,2022-02-15
30,1198.5,2022-02-16
31,1196.9,2022-02-17
32,1197.1,2022-02-18
33,1196.4,2022-02-21
34,1194.6,2022-02-22
35,1194.7,2022-02-23
36,1192.1,2022-02-24
37,1199.4,2022-02-25
38,1202.7,2022-02-28
39,1205.6,2022-03-02
40,1205.0,2022-03-03
41,1203.6,2022-03-04
42,1211.5,2022-03-07
43,1225.4,2022-03-08
44,1234.5,2022-03-10
45,1228.7,2022-03-11
46,1232.4,2022-03-14
47,1238.6,2022-03-15
48,1241.7,2022-03-16
49,1240.4,2022-03-17
50,1220.6,2022-03-18
51,1211.1,2022-03-21
52,1213.7,2022-03-22
53,1221.4,2022-03-23
54,1212.7,2022-03-24
55,1219.4,2022-03-25
56,1218.3,2022-03-28
57,1225.7,2022-03-29
58,1220.5,2022-03-30
59,1210.8,2022-03-31
60,1210.7,2022-04-01
61,1216.1,2022-04-04
62,1216.7,2022-04-05
63,1212.6,2022-04-06
64,1219.1,2022-04-07
65,1218.5,2022-04-08
66,1224.0,2022-04-11
67,1232.0,2022-04-12
68,1236.6,2022-04-13
69,1227.7,2022-04-14
70,1224.2,2022-04-15
71,1230.1,2022-04-18
72,1232.8,2022-04-19
73,1234.9,2022-04-20
74,1237.1,2022-04-21
75,1236.4,2022-04-22
76,1241.7,2022-04-25
77,1247.1,2022-04-26
78,1248.3,2022-04-27
79,1263.1,2022-04-28
80,1269.4,2022-04-29
81,1265.4,2022-05-02
82,1265.8,2022-05-03
83,1265.7,2022-05-04
84,1261.8,2022-05-06
85,1272.7,2022-05-09
86,1274.6,2022-05-10
87,1275.5,2022-05-11
88,1277.0,2022-05-12
89,1286.4,2022-05-13
90,1286.0,2022-05-16
91,1281.6,2022-05-17
92,1277.2,2022-05-18
93,1269.3,2022-05-19
94,1274.6,2022-05-20
95,1269.5,2022-05-23
96,1267.7,2022-05-24
97,1264.3,2022-05-25
98,1263.3,2022-05-26
99,1266.4,2022-05-27
100,1256.9,2022-05-30
101,1245.8,2022-05-31
102,1238.4,2022-06-02
103,1251.2,2022-06-03
104,1241.1,2022-06-07
105,1257.1,2022-06-08
106,1255.4,2022-06-09
107,1257.6,2022-06-10
108,1266.0,2022-06-13
109,1286.0,2022-06-14
110,1289.7,2022-06-15
111,1291.3,2022-06-16
112,1284.1,2022-06-17
113,1287.5,2022-06-20
114,1291.7,2022-06-21
115,1290.6,2022-06-22
116,1295.7,2022-06-23
117,1300.7,2022-06-24
118,1299.4,2022-06-27
119,1285.6,2022-06-28
120,1284.9,2022-06-29
121,1292.9,2022-06-30
122,1299.8,2022-07-01
123,1294.2,2022-07-04
124,1297.9,2022-07-05
125,1298.0,2022-07-06
126,1307.4,2022-07-07
127,1302.7,2022-07-08
128,1299.3,2022-07-11
129,1300.6,2022-07-12
130,1312.9,2022-07-13
131,1305.9,2022-07-14
132,1310.0,2022-07-15
133,1323.7,2022-07-18
134,1317.8,2022-07-19
135,1314.9,2022-07-20
136,1308.6,2022-07-21
137,1312.1,2022-07-22
138,1311.7,2022-07-25
139,1311.0,2022-07-26
140,1310.0,2022-07-27
141,1312.8,2022-07-28
142,1304.0,2022-07-29
143,1298.6,2022-08-01
144,1306.4,2022-08-02
145,1307.2,2022-08-03
146,1310.5,2022-08-04
147,1309.7,2022-08-05
148,1299.3,2022-08-08
149,1304.8,2022-08-09
150,1305.1,2022-08-10
151,1309.1,2022-08-11
152,1302.5,2022-08-12
153,1303.1,2022-08-16
154,1309.6,2022-08-17
155,1309.8,2022-08-18
156,1317.3,2022-08-19
157,1326.7,2022-08-22
158,1338.2,2022-08-23
159,1341.8,2022-08-24
160,1341.4,2022-08-25
161,1336.9,2022-08-26
162,1332.5,2022-08-29
163,1347.7,2022-08-30
164,1347.5,2022-08-31
165,1345.1,2022-09-01
166,1351.4,2022-09-02
167,1356.5,2022-09-05
168,1369.7,2022-09-06
169,1370.3,2022-09-07
170,1385.3,2022-09-08
171,1381.2,2022-09-13
172,1374.8,2022-09-14
173,1391.7,2022-09-15
174,1394.2,2022-09-16
175,1394.2,2022-09-19
176,1390.1,2022-09-20
177,1389.1,2022-09-21
178,1393.6,2022-09-22
179,1408.0,2022-09-23
180,1408.4,2022-09-26
181,1429.7,2022-09-27
182,1427.2,2022-09-28
183,1436.5,2022-09-29
184,1434.8,2022-09-30
185,1432.1,2022-10-04
186,1431.2,2022-10-05
187,1419.1,2022-10-06
188,1404.2,2022-10-07
189,1410.3,2022-10-11
190,1433.5,2022-10-12
191,1430.4,2022-10-13
192,1427.0,2022-10-14
193,1428.9,2022-10-17
194,1436.6,2022-10-18
195,1425.6,2022-10-19
196,1420.6,2022-10-20
197,1431.7,2022-10-21
198,1436.6,2022-10-24
199,1436.6,2022-10-25
200,1436.5,2022-10-26
201,1428.2,2022-10-27
202,1418.1,2022-10-28
203,1419.3,2022-10-31
204,1422.2,2022-11-01
205,1421.7,2022-11-02
206,1418.0,2022-11-03
207,1422.1,2022-11-04
208,1422.4,2022-11-07
209,1406.5,2022-11-08
210,1387.3,2022-11-09
211,1368.3,2022-11-10
212,1370.1,2022-11-11
213,1334.1,2022-11-14
214,1320.3,2022-11-15
215,1322.4,2022-11-16
216,1325.6,2022-11-17
217,1338.4,2022-11-18
218,1340.0,2022-11-21
219,1352.3,2022-11-22
220,1355.7,2022-11-23
221,1352.3,2022-11-24
222,1333.2,2022-11-25
223,1326.8,2022-11-28
224,1339.0,2022-11-29
225,1331.5,2022-11-30
226,1320.1,2022-12-01
227,1300.8,2022-12-02
228,1300.4,2022-12-05
229,1293.2,2022-12-06
230,1309.0,2022-12-07
231,1319.5,2022-12-08
232,1320.4,2022-12-09
233,1306.6,2022-12-12
234,1310.0,2022-12-13
235,1304.4,2022-12-14
236,1296.0,2022-12-15
237,1301.0,2022-12-16
238,1310.1,2022-12-19
239,1302.0,2022-12-20
240,1298.0,2022-12-21
241,1286.6,2022-12-22
242,1276.1,2022-12-23
243,1282.2,2022-12-26
244,1276.4,2022-12-27
