,Adjusted_Prediction_Date,Average_Sentiment_Score,Recommendation
0,2022-01-03,0.5,1
1,2022-01-04,2.0,1
2,2022-01-06,2.5714285714285716,1
3,2022-01-07,2.0,1
4,2022-01-10,3.5,1
5,2022-01-12,2.25,1
6,2022-01-13,2.0,1
7,2022-01-14,2.0,1
8,2022-01-17,1.8571428571428572,1
9,2022-01-18,1.8571428571428572,1
10,2022-01-19,2.0,1
11,2022-01-20,2.0,1
12,2022-01-24,1.5,1
13,2022-01-25,1.0,1
14,2022-01-27,0.6666666666666666,1
15,2022-01-28,3.0,1
16,2022-02-01,-1.0,0
17,2022-02-03,2.0,1
18,2022-02-08,4.0,1
19,2022-02-09,1.0,1
20,2022-02-10,1.0,1
21,2022-02-11,2.0,1
22,2022-02-14,2.0,1
23,2022-02-16,3.0,1
24,2022-02-17,2.7142857142857144,1
25,2022-02-22,4.0,1
26,2022-02-23,2.5142857142857142,1
27,2022-02-24,2.5,1
28,2022-02-25,2.0,1
29,2022-02-28,2.0,1
30,2022-03-01,3.0,1
31,2022-03-03,3.0,1
32,2022-03-04,2.0,1
33,2022-03-10,3.8,1
34,2022-03-11,1.8,1
35,2022-03-14,2.0,1
36,2022-03-15,2.0,1
37,2022-03-16,1.5714285714285714,1
38,2022-03-21,2.0,1
39,2022-03-22,1.5,1
40,2022-03-23,1.5,1
41,2022-03-24,1.5,1
42,2022-03-25,1.5,1
43,2022-03-29,1.5,1
44,2022-03-30,2.4,1
45,2022-03-31,2.3076923076923075,1
46,2022-04-01,2.125,1
47,2022-04-04,2.0,1
48,2022-04-05,1.3333333333333333,1
49,2022-04-07,1.75,1
50,2022-04-08,2.0,1
51,2022-04-11,1.6363636363636365,1
52,2022-04-12,0.3333333333333333,1
53,2022-04-13,1.875,1
54,2022-04-14,1.4,1
55,2022-04-15,0.0,0
56,2022-04-18,2.0,1
57,2022-04-19,2.0,1
58,2022-04-21,1.75,1
59,2022-04-22,1.5,1
60,2022-04-25,3.0,1
61,2022-04-26,1.8571428571428572,1
62,2022-04-27,2.5,1
63,2022-04-28,2.0,1
64,2022-04-29,1.0,1
65,2022-05-03,2.3333333333333335,1
66,2022-05-04,1.8571428571428572,1
67,2022-05-05,1.0,1
68,2022-05-06,2.0,1
69,2022-05-09,3.5,1
70,2022-05-10,-1.0,0
71,2022-05-11,0.75,1
72,2022-05-12,0.3333333333333333,1
73,2022-05-13,1.5,1
74,2022-05-16,2.4,1
75,2022-05-20,-1.0,0
76,2022-05-24,-2.0,0
77,2022-05-27,1.8333333333333333,1
78,2022-05-30,1.75,1
79,2022-05-31,1.0,1
80,2022-06-01,0.75,1
81,2022-06-02,1.0,1
82,2022-06-03,-1.0,0
83,2022-06-06,2.0,1
84,2022-06-08,1.25,1
85,2022-06-10,-1.0,0
