,Date,Institution_Total,Other_Corporations,Individual,Foreign_Total
0,2024/10/31,-18203,471,39263,-21531
1,2024/10/30,-18479,368,27344,-9233
2,2024/10/29,21690,547,-28049,5812
3,2024/10/28,21397,-169,-29576,8348
4,2024/10/25,20108,-79,-14094,-5935
5,2024/10/24,13072,225,-13183,-114
6,2024/10/23,16573,59,5258,-21890
7,2024/10/22,74160,-326,-53321,-20513
8,2024/10/21,72850,1920,-73148,-1622
9,2024/10/18,14504,851,20135,-35490
10,2024/10/17,166813,-275,-250224,83686
11,2024/10/16,11212,-1141,41211,-51282
12,2024/10/15,17960,3990,-1634,-20316
13,2024/10/14,48175,411,-82766,34180
14,2024/10/11,3558,-656,-4124,1222
15,2024/10/10,36279,-111,-26004,-10164
16,2024/10/08,21699,702,-25331,2930
17,2024/10/07,16332,-471,-18424,2563
18,2024/10/04,14234,348,-30315,15733
19,2024/10/02,11498,883,-10568,-1813
20,2024/09/30,584,390,12574,-13548
21,2024/09/27,24999,2420,-39884,12465
22,2024/09/26,73323,663,-102424,28438
23,2024/09/25,15957,-1543,7156,-21570
24,2024/09/24,16391,42,-31580,15147
25,2024/09/23,-36031,545,36304,-818
26,2024/09/20,-26969,609,41586,-15226
27,2024/09/19,-26948,-3928,50066,-19190
28,2024/09/13,-38297,13112,74983,-49798
29,2024/09/12,6207,13729,51949,-71885
30,2024/09/11,31757,13708,-58566,13101
31,2024/09/10,-1006,13864,-6919,-5939
32,2024/09/09,-7958,12334,6457,-10833
33,2024/09/06,-23666,12254,38000,-26588
34,2024/09/05,-3709,11625,-12465,4549
35,2024/09/04,-128711,13666,63541,51504
36,2024/09/03,-18741,12320,-6825,13246
37,2024/09/02,-22473,12786,24720,-15033
38,2024/08/30,19016,14398,-15273,-18141
39,2024/08/29,75621,14450,-106490,16419
40,2024/08/28,32891,1907,-55776,20978
41,2024/08/27,6007,1059,-18138,11072
42,2024/08/26,13170,507,-23433,9756
43,2024/08/23,5440,507,-11915,5968
44,2024/08/22,45075,681,-80867,35111
45,2024/08/21,8112,563,-15777,7102
46,2024/08/20,-331,280,1508,-1457
47,2024/08/19,10969,-352,-35396,24779
48,2024/08/16,14800,-253,-52366,37819
49,2024/08/14,-124439,-1732,145515,-19344
50,2024/08/13,-5159,-1506,-562,7227
51,2024/08/12,-23186,-524,13627,10083
52,2024/08/09,-94307,38,190561,-96292
53,2024/08/08,84338,-260,-17343,-66735
54,2024/08/07,140058,1239,-163132,21835
55,2024/08/06,-7861,344,19103,-11586
56,2024/08/05,48439,123,-25999,-22563
57,2024/08/02,88960,-2983,-102514,16537
58,2024/08/01,-8611,231,6601,1779
59,2024/07/31,16146,-504,-20241,4599
60,2024/07/30,-7460,-4020,13682,-2202
61,2024/07/29,-15299,88,-6465,21676
62,2024/07/26,20146,392,-25925,5387
63,2024/07/25,-85207,1113,54295,29799
64,2024/07/24,-25384,28,29986,-4630
65,2024/07/23,8192,67,-7339,-920
66,2024/07/22,-9232,2222,7406,-396
67,2024/07/19,-11453,-481,26949,-15015
68,2024/07/18,9457,1602,-49750,38691
69,2024/07/17,-64785,955,86534,-22704
70,2024/07/16,-23379,-1505,34850,-9966
71,2024/07/15,-19364,1572,56158,-38366
72,2024/07/12,-8441,1616,-22576,29401
73,2024/07/11,9400,-788,84240,-92852
74,2024/07/10,-51835,-733,108109,-55541
