,Adjusted_Prediction_Date_Copy,Open,High,Low,Close,Volume,Pre_market_volume,Intraday_volume,After_market_volume,After_hour_volume,trading_value,search_frequency,Institution_Total,Other_Corporations,Individual,Foreign_Total,SMA5,SMA20,MA50,RSI,MACD,Signal_Line,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,Momentum,VROC,Volatility,Stochastic %K,Stochastic %D,BB_width,Close_Open_diff,KOSPI_Open,KOSPI_Close,NASDAQ_Open,NASDAQ_Close,WTI_Oil_Price,cpi,interest_rate,Exchange_Rate,Average_Sentiment_Score,Recommendation,Lag_0_Sentiment_Score,Lag_1_Sentiment_Score,Lag_2_Sentiment_Score,Lag_3_Sentiment_Score,Lag_4_Sentiment_Score,Lag_5_Sentiment_Score,Lag_6_Sentiment_Score,Lag_7_Sentiment_Score,Target
2022-01-03,2022-01-03,352000,360500,349000,350500,179666,0,"178,956",345,365,"63,554",5.19213,-15902.0,522.0,27045.0,-11665.0,349600.0,341000.0,359740.0,60.833333333333336,-2053.389836050512,-4398.495564401304,341000.0,358579.892820462,323420.107179538,10000.0,42.713256495595466,8789.946410230987,67.07317073170732,65.04065040650407,35159.785640924005,-1500,2998.32,2988.77,15732.5,15832.7998046875,76.08000183105469,104.88677419354838,1.003,1185.5,0.5,1.0,0.5,,,,,,,,0
2022-01-04,2022-01-04,350500,351500,336000,337500,223248,3,"220,464",507,"2,274","75,843",5.29765,-47624.0,530.0,91755.0,-44661.0,348900.0,341125.0,359970.0,54.47761194029851,-2545.2128748015966,-4027.8390264813634,341125.0,358560.21844156954,323689.78155843046,-3500.0,45.53893894154921,8717.609220784763,35.36585365853659,55.28455284552846,34870.436883139075,-13000,2991.97,2989.24,15852.1396484375,15622.7197265625,76.98999786376953,104.90516129032258,1.0,1190.8,2.0,1.0,2.0,0.5,,,,,,,0
2022-01-05,,332500,336000,310500,314000,500313,135,"496,801","1,256","2,121","159,299",7.48363,-193929.0,-609.0,176022.0,18516.0,340100.0,339850.0,359410.0,39.66480446927375,-4776.182915135869,-4177.507804212264,339850.0,361098.15781488596,318601.84218511404,-44000.0,2.9832036556749415,10624.078907442981,6.5420560747663545,36.327026821670096,42496.31562977191,-18500,2984.05,2953.97,15547.16015625,15100.169921875,77.8499984741211,104.92354838709677,0.987,1194.3,2.0,1.0,2.0,2.0,0.5,,,,,,0
2022-01-06,2022-01-06,308000,308500,296500,298500,459978,417,"455,316",551,"3,694","138,826",8.1468,-145213.0,-2717.0,103379.0,44551.0,329900.0,337725.0,358410.0,33.49282296650718,-7706.131716934731,-4883.232586756758,337725.0,365870.2529417996,309579.7470582004,-51000.0,37.62278184848204,14072.626470899802,2.9629629629629632,14.956957565421979,56290.505883599166,-9500,2925.4,2920.53,15024.150390625,15080.8603515625,79.45999908447266,104.94193548387096,1.0,1198.2,2.571428571428572,1.0,2.571428571428572,2.0,2.0,0.5,,,,,1
2022-01-07,2022-01-07,302500,307500,300500,302500,223108,21,"220,405",470,"2,212","67,735",6.57938,-20942.0,161.0,35960.0,-15179.0,320600.0,335125.0,357790.0,36.61971830985915,-9594.768166014343,-5825.539702608275,335125.0,366200.24823121395,304049.75176878605,-46500.0,56.018489381193135,15537.624115606968,8.88888888888889,6.1313026422060775,62150.496462427895,0,2933.78,2954.89,15095.7197265625,14935.900390625,78.9000015258789,104.96032258064515,1.004,1199.6,2.0,1.0,2.0,2.571428571428572,2.0,2.0,0.5,,,,0
2022-01-10,2022-01-10,302000,302000,289000,295500,275890,140,"273,897",291,"1,562","80,738",6.65574,-36882.0,-1718.0,19468.0,19132.0,309600.0,332300.0,357000.0,36.27906976744186,-11523.531558700488,-6965.138073826717,332300.0,366979.58598672296,297620.41401327704,-55000.0,53.55715605623769,17339.792993361494,8.666666666666668,6.839506172839516,69359.17197344592,-6500,2947.37,2926.72,14751.7802734375,14942.830078125,78.2300033569336,105.01548387096774,1.068,1202.4,3.5,1.0,3.5,2.0,2.571428571428572,2.0,2.0,0.5,,,0
2022-01-11,,294000,300500,288000,289000,209051,137,"206,678",601,"1,635","60,939",6.06034,-39052.0,1213.0,40675.0,-2836.0,299900.0,329875.0,355810.0,26.470588235294116,-13421.867190477962,-8256.483897156966,329875.0,369459.51983447955,290290.48016552045,-48500.0,-6.359295492008887,19792.25991723977,1.3157894736842104,6.290448343079931,79169.0396689591,-5000,2930.93,2927.38,14919.259765625,15153.4501953125,81.22000122070312,105.03387096774193,1.001,1200.0,3.5,1.0,3.5,3.5,2.0,2.571428571428572,2.0,2.0,0.5,,1
2022-01-12,2022-01-12,295500,302500,293000,297000,223419,3,"221,327",200,"1,889","66,405",6.14956,10277.0,-1247.0,12496.0,-21526.0,296500.0,328150.0,354790.0,29.245283018867923,-14118.034797249711,-9428.794077175517,328150.0,370356.3851492687,285943.6148507313,-17000.0,-55.344154559245915,21103.192574634355,11.842105263157894,7.274853801169601,84412.77029853745,1500,2950.78,2972.48,15263.099609375,15188.3896484375,82.63999938964844,105.05225806451612,1.017,1195.2,2.25,1.0,2.25,3.5,3.5,2.0,2.571428571428572,2.0,2.0,0.5,0
2022-01-13,2022-01-13,298500,299000,288000,291500,179105,1,"178,101",401,602,"52,288",5.59363,-31181.0,270.0,32923.0,-2012.0,295100.0,326100.0,353690.0,27.80269058295964,-14941.322411703353,-10531.299744081083,326100.0,371293.8514681622,280906.1485318378,-7000.0,-61.06226819543543,22596.925734081095,4.605263157894736,5.921052631578957,90387.70293632441,-7000,2979.91,2962.09,15245.0400390625,14806.8095703125,82.12000274658203,105.07064516129032,1.034,1189.9,2.0,1.0,2.0,2.25,3.5,3.5,2.0,2.571428571428572,2.0,2.0,0
2022-01-14,2022-01-14,284500,285000,276500,284000,282689,9,"280,275",919,"1,486","79,539",5.87589,-44723.0,-870.0,40941.0,4652.0,291400.0,323650.0,352240.0,26.160337552742618,-16014.367438278685,-11627.913282920605,323650.0,372438.58796675166,274861.41203324834,-18500.0,26.70500385463542,24394.29398337583,8.571428571428571,8.339598997493743,97577.17593350331,-500,2937.61,2921.92,14708.01953125,14893.75,83.81999969482422,105.08903225806452,1.273,1188.2,2.0,1.0,2.0,2.0,2.25,3.5,3.5,2.0,2.571428571428572,2.0,0
