,datetime,Pre_market_volume,Intraday_volume,After_market_volume,After_hour_volume,trading_value,search_frequency
0,2024-11-08,2,"113,603",291,765,"22,816",4.74429
1,2024-11-07,0,"224,826",288,505,"44,672",5.54044
2,2024-11-06,33,"196,482",196,864,"39,895",7.06325
3,2024-11-05,22,"429,156",558,"1,268","87,114",9.00215
4,2024-11-04,172,"312,490",618,507,"61,461",7.53167
5,2024-11-01,1,"116,519",52,559,"21,779",5.93165
6,2024-10-31,0,"179,190",192,606,"33,652",7.21853
7,2024-10-30,3,"106,082",326,"1,361","20,837",7.69382
8,2024-10-29,16,"94,100",466,412,"18,565",9.00644
9,2024-10-28,85,"115,057",136,866,"22,418",7.36867
10,2024-10-25,264,"138,012",318,540,"26,736",6.92427
11,2024-10-24,9,"83,929",65,630,"16,371",5.83728
12,2024-10-23,126,"114,753",182,343,"22,388",5.4821
13,2024-10-22,49,"203,441",149,525,"39,888",6.02002
14,2024-10-21,0,"228,777",362,952,"44,633",6.26538
15,2024-10-18,50,"148,010",149,895,"28,352",6.28083
16,2024-10-17,0,"439,783",975,"1,284","83,840",10.27788
17,2024-10-16,71,"134,289",544,446,"24,316",6.27396
18,2024-10-15,11,"136,385",278,357,"25,142",7.65264
19,2024-10-14,7,"168,941",243,"1,021","30,904",5.98742
20,2024-10-11,8,"82,526",78,"1,070","14,837",5.03427
21,2024-10-10,0,"170,297",439,457,"30,767",5.40918
22,2024-10-08,0,"206,533",186,453,"36,735",5.29679
23,2024-10-07,118,"116,870",116,459,"20,352",5.35856
24,2024-10-04,14,"102,506",238,287,"17,757",4.45346
25,2024-10-02,1,"100,492",167,469,"17,091",5.38001
26,2024-09-30,11,"96,117",329,909,"16,619",6.72609
27,2024-09-27,530,"204,404",76,823,"35,339",8.56633
28,2024-09-26,368,"352,655","5,797","1,040","60,311",12.67061
29,2024-09-25,0,"179,720","1,030","1,899","29,635",12.38493
30,2024-09-24,0,"199,436",904,"1,526","32,383",8.7422
31,2024-09-23,30,"166,747",762,"2,001","26,814",9.37363
32,2024-09-20,0,"200,581","10,556","2,233","34,319",8.01726
33,2024-09-19,104,"214,664","1,163","2,023","35,457",8.09104
34,2024-09-13,5,"178,298","18,525","1,505","32,913",17.57277
35,2024-09-12,20,"307,964","15,446",972,"54,494",30.60714
36,2024-09-11,0,"143,467",79,575,"24,929",8.92494
37,2024-09-10,8,"78,691",267,653,"13,251",4.29817
38,2024-09-09,0,"120,483",248,767,"19,782",4.93732
39,2024-09-06,3,"132,901",630,"1,000","22,584",4.58129
40,2024-09-05,5,"79,083",185,833,"13,835",4.54268
41,2024-09-04,0,"268,900",695,863,"46,951",5.56275
42,2024-09-03,24,"102,813",783,708,"18,792",4.79577
43,2024-09-02,375,"149,655",440,"1,644","27,564",4.25957
44,2024-08-30,91,"239,215",468,"2,810","45,046",4.71598
45,2024-08-29,808,"251,600",248,"1,227","47,254",5.61165
46,2024-08-28,1,"389,936","1,011","2,360","71,985",7.63291
47,2024-08-27,14,"50,331",136,"31,381","14,741",4.55126
48,2024-08-26,0,"85,172",362,859,"15,346",3.61184
49,2024-08-23,49,"77,449",90,389,"13,724",3.60154
50,2024-08-22,0,"176,582",292,"1,114","30,981",4.39426
51,2024-08-21,11,"63,567",189,533,"10,941",3.47285
52,2024-08-20,131,"71,428",89,616,"12,210",3.82889
53,2024-08-19,92,"140,316",175,"1,292","24,090",4.42086
54,2024-08-16,18,"188,123",769,984,"31,642",6.00029
55,2024-08-14,190,"381,480","1,479","4,181","63,995",9.38821
56,2024-08-13,14,"113,951","1,103","4,359","20,468",6.82303
57,2024-08-12,158,"187,237",429,"1,390","32,528",8.25233
58,2024-08-09,569,"367,612",171,"3,155","65,502",13.56542
59,2024-08-08,179,"333,827","1,007","1,624","61,161",8.03527
60,2024-08-07,43,"579,019",378,"2,470","106,615",10.9359
61,2024-08-06,197,"286,623",641,"1,403","49,465",5.00767
62,2024-08-05,24,"309,847",595,"3,908","53,572",6.42667
63,2024-08-02,43,"357,340",348,"1,353","64,767",4.5178
64,2024-08-01,110,"68,690",318,936,"12,298",3.27124
65,2024-07-31,33,"100,361",198,621,"17,611",3.61784
66,2024-07-30,6,"84,244",151,847,"14,792",3.69763
67,2024-07-29,0,"103,722",172,606,"18,224",3.63329
68,2024-07-26,12,"103,707",519,"1,971","18,157",4.64134
69,2024-07-25,1,"256,946",673,"3,360","44,680",6.19074
70,2024-07-24,0,"117,667",663,"1,373","21,367",5.11062
71,2024-07-23,0,"93,363",634,"1,787","17,344",4.71855
72,2024-07-22,50,"123,526",580,"1,091","22,586",4.71512
73,2024-07-19,141,"140,527",667,"1,353","25,827",4.3385
74,2024-07-18,13,"152,008",669,"1,038","28,302",4.05109
