,TIME,DATA_VALUE
0,202112,104.04
1,202201,104.85
2,202202,105.42
3,202203,106.1
4,202204,106.83
5,202205,107.5
6,202206,108.21
7,202207,108.73
8,202208,108.63
9,202209,108.82
10,202210,109.16
11,202211,109.07
12,202212,109.26
13,202301,110.07
14,202302,110.33
15,202303,110.52
16,202304,110.77
17,202305,111.13
18,202306,111.16
19,202307,111.29
20,202308,112.28
21,202309,112.85
22,202310,113.27
23,202311,112.68
24,202312,112.73
25,202401,113.17
26,202402,113.78
27,202403,113.95
28,202404,114.01
29,202405,114.1
30,202406,113.84
31,202407,114.13
32,202408,114.54
33,202409,114.65
34,202410,114.69
35,202411,114.73
