DateTime,Title_Text
2022-01-02,"“하이브 보이콧” 아미가 BTS NFT 반대하는 이유 'BTS 파워' 하이브 방시혁 의장, 지난해 주식부호 7위로 '수직 상승'"
2022-01-04,인사·조직 과감한 ‘다른 길’…크래프톤·하이브의 비결
2022-01-06,"하이브, 올해 플랫폼 생태계 확장…우려보다 기대-NH NH證 ""하이브, IP와 플랫폼 확장의 원년"" 하이브, 방탄소년단 콘서트로 4분기 '역대급 실적' 기대-NH ""리오프닝 맛보만으로""...하이브, 4분기 역대급 실적 나온다 하이브, 플랫폼 확장 등 중장기적 성장동력 갖춰-NH NH투자증권 “하이브, BTS 콘서트로 역대급 실적…올해는 NFT 등 신산업 주목” [특징주] BTS 소속사 하이브, 역대급 실적·NFT 진출에도 주가↓"
2022-01-07,"[클릭 e종목]""하이브, 과도한 조정은 매수 기회"" 하이브, 4Q 최대 실적 전망…주가 조정은 매수 기회-IBK BTS, 세븐틴, TXT 업은 하이브…4분기 영업이익 최대 전망-IBK 하이브, 과도한 주가 조정은 투자 기회-IBK證 IBK투자증권 “하이브 과도한 조정 매수 기회...목표주가 50만원” [특징주] 하이브, 4거래일만에 반등 30만원선 회복 [특징주] BTS 소속사 하이브, 4거래일만에 반등… NFT 신사업 기대감↑"
2022-01-08,"BTS 필두로 한 하이브, 작년 앨범 판매 1523만장"
2022-01-09,"하이브, 4분기 최대 실적 전망…""주가 조정은 투자 기회"""
2022-01-12,"하이브, 콘텐츠·플랫폼 사업 본격화…역대 최대 영업이익 예상-한투 갤러리 힘준 신세계, 하이브(HYBE) 전시도 연다[언박싱] BTS가 범 사냥꾼으로 등장…하이브, 웹툰·웹소설 선보인다 갤러리에 꽂힌 신세계, 하이브 전시도 연다 SM·하이브가 이끈 K팝 시장…음반 판매 37%↑"
2022-01-13,"LB PE ""하이브는 빅데이터 기업""…'기업 보는 눈' 남달라 투자 잭팟"
2022-01-14,"네이버웹툰, DC·하이브 이어 마블과도 손잡았다…""美 코믹스 시장 선도"" [게시판] 신세계 센텀시티, 하이브 인사이트 전시회 신세계 센텀시티, 하이브 인사이트 전시회 개최"
2022-01-16,"BTS 하이브 오리지널 스토리, 네이버웹툰 '세븐 페이츠: 착호' 공개"
2022-01-17,"[클릭 e종목] “하이브, 신사업·본업 기대되는 올해” 하이브, 4Q 사상 최대 실적 전망…시장 예상치는 하회-KB 하이브, NFT 기대감…주가 조정은 매수 기회-KB 하이브, BTS 의존도 줄여…최대 실적 전망에도 추정치 하회 예상-KB 하이브, 4분기 최대 실적 전망에도 시장 예상치는 하회…왜?"
2022-01-18,"하이브, 상반기 공개될 신사업 주목-SK證 하이브, 상반기 웹툰·NFT 등 신사업 기대-SK ""하이브, 상반기 공개될 다양한 신사업에 주목""-SK 하이브, 4분기 실적 컨센 하회 전망…상반기 신사업 주목-SK SK증권 “하이브, 상반기 공개 신사업 주목…주가 상승 여력 높아” 대구 ‘호반써밋 하이브파크’ 동호지정 계약 진행 베스트 애널리스트 21인의 추천 종목…IT는 LG이노텍, 콘텐츠는 하이브 ‘강추’"
2022-01-20,"하이브, NFT·메타버스·플랫폼 대표 성장주…""저점 매수""-이베스트 이베스트투자증권 “하이브, 국내 NFT·메타버스 대표하는 성장주…목표가 50만2000원” 이베스트證 ""엔터株, 상저하고 흐름 예상…'하이브' 최선호"" 하이브 주가 두달새 30% 하락…""올해 엔터주 실적 가시화될 것"""
2022-01-22,[SK證 주간추천주] 이익개선 기대감…LG화학·하이브·파인테크닉스
2022-01-23,"YG엔터 부진에 하이브·SM 두각… 4대 연예기획사 ‘지각변동’ “하이브, 상반기 위버스·브이라이브 통합에 주목” 하이브가 내놓은 BTS ‘웹툰’의 반전…초기 혹평 딛고 정식 작품 나오자 ‘호평’ 돌아서"
